ID,PageRank
4702,0.0033649692536527466
158871,0.0031882126092934644
39206,0.0031101875497881225
7648,0.002931600139376677
226829,0.002856950364161319
15889,0.002835819338061827
19622,0.0028333320895458955
135042,0.00279764636566189
222927,0.002791287451571412
16104,0.0026309371670543485
15768,0.002618909700796647
150284,0.002510064875812058
6122,0.002418695404695675
498962,0.002303323161178602
21460,0.002265248271881231
160113,0.002139403163820783
173403,0.0021373879339126292
352904,0.0021164431021894648
160103,0.002059911330251252
39146,0.00199963463748787
48920,0.0019133020219486321
31661,0.001871655269617915
23277,0.0018417675884495983
28679,0.0017542900307557098
61591,0.0017218516566518927
58557,0.001708578665506355
6905,0.001685599839711161
250662,0.0016796836239413122
197485,0.001637413508144241
320526,0.0016295247664501928
24835,0.0015968115809984105
249838,0.0015909904571575323
567244,0.001569636251073228
57020,0.0015414979648419459
44865,0.0015113034560545592
231113,0.0015024318752163372
54178,0.0014693831060730962
212618,0.0014634772228803846
14411,0.0014340513712341634
45720,0.001422713444743383
695882,0.0013874829359660063
943614,0.0013639928505827235
62166,0.0013558465007582705
5796,0.0013505534747295196
23241,0.0013326623916451042
129129,0.0013205764995578672
24641,0.0013196987111191477
1035,0.0013168699591498741
326148,0.0013139765160409325
33941,0.0012820603855275279
58121,0.0012756748531245854
147246,0.0012594685839330947
336759,0.0012571034823209612
15990,0.0012459349458795376
576268,0.001240186339754566
3662,0.0012400481871888116
15921,0.0012320572458352143
30253,0.0012256912863173003
30896,0.001157772814707165
263967,0.0011534181907304592
49603,0.0011432346587747432
175623,0.0011395488767678738
37870,0.0011340197612874775
227045,0.0011251868704813468
249354,0.0011250384755807875
18802,0.0011145118498335329
5129,0.0011031617904712946
64466,0.0010705535615016346
24856,0.0010661821390799164
160075,0.001044207358616747
377726,0.0010425931265993884
183353,0.0010239240168827312
234829,0.0009996404429190007
14352,0.0009966986777999614
160464,0.0009811596750578355
1041641,0.0009804034381768417
252426,0.0009494965153971555
145949,0.0009269381348370194
64991,0.0009267506193803338
41472,0.0009142039412852607
135808,0.000900924348790966
147738,0.0008862545387425848
59096,0.0008694927248428628
48055,0.0008659923105061081
30009,0.0008524620308531326
50641,0.0008518760065872753
57335,0.0008505723068051744
15999,0.0008320601206486028
243940,0.0008280189613305083
655874,0.0008173060800838215
250692,0.0008104346709150815
